href,title,price,feedbacks
/Causal-Inference-Data-Science-Villa/dp/1633439658,Causal Inference for Data Science ,"R$ 298,04",Feedbacks not available
/Storytelling-Data-Cole-Nussbaumer-Knaflic/dp/1119621496?ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d,Storytelling with Data: Let's Practice! ,"R$ 198,60",614
/Data-Driven-Science-Engineering-Learning-Dynamical/dp/1108422098?ufe=app_do%3Aamzn1.fos.e05b01e0-91a7-477e-a514-15a32325a6d6,"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control ","R$ 424,54",234
/Data-Science-Lined-Notebook-Scientist/dp/B09FNTN9J2,Data Science Lined Notebook: Data Science Girl Journal 120 Pages for a Data Scientist ,Price not available,Feedbacks not available
/Categorical-Data-Analysis-Alan-Agresti/dp/0470463635?ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Categorical Data Analysis: 792 ,"R$ 747,81",62
/Learn-Conquer-KNIME-Demand-Professionals-ebook/dp/B0C5KY91HV,Learn and Conquer KNIME: How to Conquer Big Data and Data Science with KNIME and Become One Of the Most In-Demand Professionals in the Job Market (English Edition) ,"R$ 0,00",Feedbacks not available
/Things-Every-Data-Engineer-Should/dp/1492062413?ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,97 Things Every Data Engineer Should Know: Collective Wisdom from the Experts ,"R$ 212,33",40
/Structures-Algorithm-Analysis-Computer-Science-ebook/dp/B007ZYXQI2,"Data Structures and Algorithm Analysis in C++, Third Edition (Dover Books on Computer Science) (English Edition) ","R$ 154,34",40
/Probabilistic-Machine-Learning-Advanced-Topics/dp/0262048434,Probabilistic Machine Learning: Advanced Topics ,"R$ 893,79",125
/Classification-Data-Science-Digital-Age/dp/3031090330,Classification and Data Science in the Digital Age ,"R$ 316,36",Feedbacks not available
/Data-Science-Beginners-Programming-Learning-ebook/dp/B0842X2C28,The Machine Learning Bible: [4 in 1] From Scikit-Learn to Pytorch and Everything in between to Build Smart Systems – Top Secret Tips and Tricks to Break ... (Python Programming) (English Edition) ,"R$ 0,00",750
/Data-Science-Executive-Non-Technical-Professionals-ebook/dp/B08PQ619LY,Data Science: The Executive Summary - A Technical Book for Non-Technical Professionals (English Edition) ,"R$ 317,36",1
/Bayesian-Networks-Examples-Marco-Scutari/dp/0367366517?ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Bayesian Networks: With Examples in R ,"R$ 548,91",5
/Self-Service-Data-Roadmap-Democratize-Insight/dp/1492075256?ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,The Self-Service Data Roadmap: Democratize Data and Reduce Time to Insight ,"R$ 287,49",56
/Practical-Data-Science-Greg-Foss/dp/1492046442?ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,Practical Data Science with SAP: Machine Learning Techniques for Enterprise Data ,"R$ 244,97",3
/Spark-Definitive-Guide-Bill-Chambers/dp/1491912219?ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,Spark: The Definitive Guide: Big Data Processing Made Simple ,"R$ 332,03",390
/Data-Science-Geosciences-English-Lijing-ebook/dp/B0C94PVLVT,Data Science for the Geosciences (English Edition) ,"R$ 239,33",Feedbacks not available
/Data-Science-Interview-Language-Scientist-ebook/dp/B09PX25VQ3,"Data Science Interview: Prep for SQL, Panda, Python, R Language, Machine Learning, DBMS and RDBMS – And More – The Full Data Scientist Interview Handbook (English Edition) ","R$ 0,00",158
/Data-Science-Command-Line-Explore/dp/1492087912?ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,"Data Science at the Command Line: Obtain, Scrub, Explore, and Model Data with Unix Power Tools ","R$ 285,33",21
/Foundations-Architecting-Data-Solutions-Malaska/dp/1492038741?ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,Foundations for Architecting Data Solutions: Managing Successful Data Projects ,"R$ 231,04",50
/dp/B0CB1WW96H,The Beginner's Guide to Data Science: Unleashing the Power of Data for Business Success (English Edition) ,"R$ 0,00",Feedbacks not available
/Python-Geospatial-Data-Analysis-Intelligence/dp/109810479X?ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,"Python for Geospatial Data Analysis: Theory, Tools, and Practice for Location Intelligence ","R$ 261,17",16
/Data-Science-Marketing-Analytics-practical/dp/1800560478?ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,Data Science for Marketing Analytics - Second Edition: A practical guide to forming a killer marketing strategy through data analysis with Python ,"R$ 327,30",14
/Self-Taught-Computer-Scientist-Beginners-Science/dp/1119724414?ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,The Self-Taught Computer Scientist: The Beginner's Guide to Data Structures & Algorithms ,"R$ 107,63",106
/Art-Science-Concussion-Translating-Prevention/dp/B00ITAPW7Y,The Art & Science of Concussion: Translating Data Into Concussion Prevention ,Price not available,Feedbacks not available
/Human-Centered-Data-Science-Cecilia-Aragon/dp/0262543214?ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,Human-Centered Data Science: An Introduction ,"R$ 265,06",5
/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.09cd5308-76d3-4824-a10d-b0787f9e816b%26ref_%3Ddvm_src_ret_br_xx_s&page-type-id=B0BYWJJPSR&ref=sr_1_171&keywords=data+science&sr=8-171,Data Overload: Is the Cloud Damaging the Planet? ,Price not available,Feedbacks not available
/Computational-Intelligence-Analytics-Information-Systems/dp/1774911442,"Computational Intelligence in Analytics and Information Systems: Volume 1: Data Science and Ai​, ​selected Papers from Ciais-2021 ","R$ 905,74",Feedbacks not available
/MongoDB-Definitive-Guide-Shannon-Bradshaw/dp/1491954469?ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,Mongodb: The Definitive Guide: Powerful and Scalable Data Storage ,"R$ 239,32",155
/Python-Data-Science-Beginners-Visualize-ebook/dp/B0C2VS3GHZ,Python Data Science for Beginners: Analyze and Visualize Data Like a Pro (English Edition) ,"R$ 0,00",23
/Science-PostgreSQL-Object-Oriented-Approach-Netbeans/dp/B0C51Z4ZZY,Data Science Using JDBC and PostgreSQL with Object-Oriented Approach and Apache Netbeans Ide ,"R$ 209,20",Feedbacks not available
/Snowflake-Definitive-Architecting-Designing-Deploying/dp/1098103823?ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,"Snowflake: The Definitive Guide: Architecting, Designing, and Deploying on the Snowflake Data Cloud ","R$ 333,06",19
/Alteryx-Designer-Definitive-Simplify-Analytics/dp/1098107527,Alteryx Designer: The Definitive Guide: Simplify and Automate Your Analytics ,"R$ 399,42",Feedbacks not available
/Essential-Mathematics-Quantum-Computing-complexities/dp/1801073147?ufe=app_do%3Aamzn1.fos.e05b01e0-91a7-477e-a514-15a32325a6d6,Essential Mathematics for Quantum Computing: A beginner's guide to just the math you need without needless complexities ,"R$ 409,15",30
/Data-Science-Monika-Freunek-Muller/dp/1119621216,Data Science ,"R$ 1.600,75",Feedbacks not available
/Learning-SQL-3e-Alan-Beaulieu/dp/1492057614?ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,"Learning SQL: Generate, Manipulate, and Retrieve Data ","R$ 256,11",384
/Python-Data-Science-b%C3%A1sico-intermedi%C3%A1rio-ebook/dp/B0BVJRDGDP,Python Data Science: Do básico ao intermediário ,"R$ 0,00",2
/Practical-Time-Analysis-Aileen-Nielsen/dp/1492041653?ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,Practical Time Series Analysis: Prediction with Statistics and Machine Learning ,"R$ 329,40",122
/Data-Science-Machine-Learning-Mathematical/dp/1138492531?ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Data Science and Machine Learning: Mathematical and Statistical Methods ,"R$ 901,23",35
/Operations-Research-Science-Public-Services/dp/3031345452,"Operations Research and Data Science in Public Services: 6th Airoyoung Workshop, Rome, Italy, February 23-25, 2022: 11 ","R$ 962,73",Feedbacks not available
/Training-Data-Machine-Learning-Supervision/dp/1492094528,Training Data for Machine Learning: Human Supervision from Annotation to Data Science ,"R$ 331,21",Feedbacks not available
/Python-Bible-Beginner-Intermediate-Learning-ebook/dp/B0868PZBCJ,"The Python Bible 7 in 1: Volumes One To Seven (Beginner, Intermediate, Data Science, Machine Learning, Finance, Neural Networks, Computer Vision) (English Edition) ","R$ 0,00",193
/Data-Science-Sensory-Consumer-Scientists/dp/0367862875,Data Science for Sensory and Consumer Scientists ,"R$ 604,17",Feedbacks not available
/Sem-Data-Venia-Olhar-Brasil/dp/6587518052,Sem data venia: Um olhar sobre o brasil e o mundo ,"R$ 24,45",1.181
/Automating-Data-Quality-Monitoring-Scale/dp/1098145933,Automating Data Quality Monitoring at Scale: Going Deeper Than Data Observability ,"R$ 317,56",Feedbacks not available
/Winning-Data-Science-Handbook-Business-ebook/dp/B0C6YQ8FQ6,Winning with Data Science: A Handbook for Business Leaders (English Edition) ,"R$ 59,34",Feedbacks not available
/Data-Science-Thinking-Scientific-Technological/dp/3319950916?ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,"Data Science Thinking: The Next Scientific, Technological and Economic Revolution ","R$ 336,74",3
/Data-Engineering-AWS-cloud-based-transformation/dp/1800560419?ufe=app_do%3Aamzn1.fos.4bb5663b-6f7d-4772-84fa-7c7f565ec65b,Data Engineering with AWS: Learn how to design and build cloud-based data transformation pipelines using AWS ,"R$ 351,23",70
/Advanced-Analytics-Pyspark-Patterns-Learning/dp/1098103653?ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,Advanced Analytics with Pyspark: Patterns for Learning from Data at Scale Using Python and Spark ,"R$ 268,90",5
/Moisture-Control-Science-Building-Envelope/dp/B000EGCIRS,"Moisture Control, Mold, and the Science Within the Building Envelope ",Price not available,Feedbacks not available
/Introduction-Probability-Data-Science-Stanley/dp/1607857464?ufe=app_do%3Aamzn1.fos.4bddec23-2dcf-4403-8597-e1a02442043d,Introduction to Probability for Data Science ,"R$ 468,78",10
/Journeys-Sciences-English-Sabina-Leonelli-ebook/dp/B08CDFMDLJ,Data Journeys in the Sciences (English Edition) ,"R$ 0,00",8
/Data-Analytics-Social-Sciences-Applications-ebook/dp/B09JCLXX5K,Data Analytics for the Social Sciences: Applications in R (English Edition) ,"R$ 421,30",Feedbacks not available
/Server-Advanced-Troubleshooting-Performance-Tuning/dp/1098101928?ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,SQL Server Advanced Troubleshooting and Performance Tuning: Best Practices and Techniques ,"R$ 263,44",9
/Semantic-Web-Working-Ontologist-Effective/dp/1450376142?ufe=app_do%3Aamzn1.fos.e05b01e0-91a7-477e-a514-15a32325a6d6,"Semantic Web for the Working Ontologist: Effective Modeling for Linked Data, Rdfs, and Owl ","R$ 406,59",30
/Machine-Learning-revised-updated-Alpaydin/dp/0262542528,"Machine Learning, Revised and Updated Edition ","R$ 65,22",22
/Science-Education-English-Andrea-Filatro-ebook/dp/B0B5547DCM,Data Science in Education (English Edition) ,"R$ 0,00",Feedbacks not available
/Data-Analytics-Management-Banking-Finance/dp/3031365690,"Data Analytics for Management, Banking and Finance: Theories and Application ","R$ 1.576,91",Feedbacks not available
/Data-Mining-Techniques-Jiawei-Han/dp/0128117605?ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Data Mining: Concepts and Techniques ,"R$ 632,32",40
/Data-Science-Beyond-Keyboard-Perspectives-ebook/dp/B0C53Y2DQB,Data Science Beyond the Keyboard: Exploring the World of Data Entry: Insights and Perspectives from the Frontlines of Data Entry (English Edition) ,"R$ 0,00",Feedbacks not available
/Data-Structures-Algorithms-Made-Easy-ebook/dp/B09B8STDLH,"Data Structures and Algorithms Made Easy: Data Structures and Algorithmic Puzzles, Fifth Edition (English Edition) ","R$ 0,00",2.858
/Introduction-Computation-Programming-Using-Python/dp/0262542366?ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,"Introduction to Computation and Programming Using Python, Third Edition: With Application to Computational Modeling and Understanding Data ","R$ 346,02",131
/Natural-Language-Processing-PyTorchlow-Delip/dp/1491978236?ufe=app_do%3Aamzn1.fos.4bb5663b-6f7d-4772-84fa-7c7f565ec65b,Natural Language Processing with Pytorch: Build Intelligent Language Applications Using Deep Learning ,"R$ 382,48",44
/Graph-Algorithms-Science-Tomaz-Bratanic/dp/1617299464,Graph Algorithms for Data Science ,"R$ 390,55",Feedbacks not available
/sociedade-ingovern%C3%A1vel-genealogia-liberalismo-autorit%C3%A1rio/dp/6586497108,A sociedade ingovernável: Uma genealogia do liberalismo autoritário: 4 ,"R$ 63,48",124
/Database-Internals-Alex-Petrov/dp/1492040347?ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,Database Internals: A Deep Dive Into How Distributed Data Systems Work ,"R$ 257,33",318
